quantity,value,unit
curve,ideal:3:1:1:L=16.371637:D= 1.000000:coeffs=183,
n_points,4096,
length_m,1.4494234175524858e-13,m
ds_m,3.5386313905089985e-17,m
constants_source,fallback canonical constants,
v_swirl_m_s,1093845.63,m s^-1
r_c_m,1.40897017e-15,m
rho_f_kg_m3,7e-07,kg m^-3
gamma0_m2_s,9.68361918e-09,m^2 s^-1
natural_unit_m,8.852820648924658e-15,m
q0_m_inv,43349550111377.74,m^-1
q_min_m_inv,43349550111377.74,m^-1
phase_source,integrated_torsion,
total_torsion_rad,-14.967652788050582,rad
mean_tau_m_inv,-103266254752011.25,m^-1
rms_tau_m_inv,475669760265389.9,m^-1
mean_kappa_m_inv,120829815671544.72,m^-1
rms_kappa_m_inv,122640811252892.17,m^-1
q_peak_abs_m_inv,43349550111377.74,m^-1
q50_abs_m_inv,115940398948515.42,m^-1
q90_abs_m_inv,569521752564270.2,m^-1
q95_abs_m_inv,910340552338932.5,m^-1
ell_eff_95,20.999999999999996,
spectral_m2_power_m_inv2,1.6900967588746666e+30,m^-2
edge_fraction_ell_1,0.2935406603015011,1
q_edge_ell_1,43349550111377.74,m^-1
f_edge_ell_1,7.546763883855838e+18,Hz
x1_ell_1,7.247117087762429e-14,m
edge_fraction_ell_2,0.36494589691830287,1
q_edge_ell_2,86699100222755.48,m^-1
f_edge_ell_2,1.5093527767711676e+19,Hz
x1_ell_2,3.6235585438812144e-14,m
edge_fraction_ell_4,0.6345638319821488,1
q_edge_ell_4,173398200445510.97,m^-1
f_edge_ell_4,3.0187055535423353e+19,Hz
x1_ell_4,1.8117792719406072e-14,m
edge_fraction_ell_8,0.817559212830749,1
q_edge_ell_8,346796400891021.94,m^-1
f_edge_ell_8,6.0374111070846706e+19,Hz
x1_ell_8,9.058896359703036e-15,m
edge_fraction_ell_13,0.8981508094395502,1
q_edge_ell_13,563544151447910.6,m^-1
f_edge_ell_13,9.81079304901259e+19,Hz
x1_ell_13,5.5747054521249454e-15,m
edge_fraction_ell_21,0.9535895045419277,1
q_edge_ell_21,910340552338932.6,m^-1
f_edge_ell_21,1.5848204156097262e+20,Hz
x1_ell_21,3.4510081370297277e-15,m
edge_fraction_ell_28,0.970547734405658,1
q_edge_ell_28,1213787403118576.8,m^-1
f_edge_ell_28,2.1130938874796347e+20,Hz
x1_ell_28,2.5882561027722957e-15,m
edge_fraction_ell_34,0.9779493834523079,1
q_edge_ell_34,1473884703786843.2,m^-1
f_edge_ell_34,2.5658997205109853e+20,Hz
x1_ell_34,2.131505025812479e-15,m
edge_fraction_ell_55,0.9861592811147109,1
q_edge_ell_55,2384225256125776.0,m^-1
f_edge_ell_55,4.150720136120711e+20,Hz
x1_ell_55,1.3176576523204415e-15,m
edge_fraction_ell_89,0.9919724655005308,1
q_edge_ell_89,3858109959912619.0,m^-1
f_edge_ell_89,6.716619856631696e+20,Hz
x1_ell_89,8.14282818849711e-16,m
