q_m_inv,power
-5.1255271537896776e+16,5.6226401635343933e-09
-5.1230244549841160e+16,6.2437089329000511e-09
-5.1205217561785552e+16,6.9711316984702012e-09
-5.1180190573729936e+16,8.3522094189605197e-09
-5.1155163585674320e+16,8.4177768523323305e-09
-5.1130136597618704e+16,7.8614823078512145e-09
-5.1105109609563096e+16,7.7124423225448591e-09
-5.1080082621507480e+16,7.3498629366451341e-09
-5.1055055633451864e+16,5.7271051884114836e-09
-5.1030028645396248e+16,4.7221660315898398e-09
-5.1005001657340640e+16,4.0678137857884719e-09
-5.0979974669285024e+16,3.5960882705772812e-09
-5.0954947681229408e+16,3.0480074889462996e-09
-5.0929920693173792e+16,3.1912680090535279e-09
-5.0904893705118184e+16,3.8468796182850567e-09
-5.0879866717062568e+16,4.9659542295950043e-09
-5.0854839729006952e+16,5.1883910271092179e-09
-5.0829812740951336e+16,6.0674618937920739e-09
-5.0804785752895728e+16,6.9084848390594764e-09
-5.0779758764840112e+16,7.1389956274234540e-09
-5.0754731776784496e+16,6.2531922954063409e-09
-5.0729704788728888e+16,6.2729827201201613e-09
-5.0704677800673272e+16,5.4310686054071236e-09
-5.0679650812617656e+16,4.4890934242650609e-09
-5.0654623824562040e+16,3.3160697784499020e-09
-5.0629596836506432e+16,3.0792353604905345e-09
-5.0604569848450816e+16,2.8315253694472116e-09
-5.0579542860395200e+16,2.8850426748796798e-09
-5.0554515872339592e+16,3.0889308569359089e-09
-5.0529488884283976e+16,4.1751466629708725e-09
-5.0504461896228368e+16,5.2497306185856730e-09
-5.0479434908172752e+16,5.6111085911721511e-09
-5.0454407920117136e+16,6.2029880270284786e-09
-5.0429380932061528e+16,6.7993502456988256e-09
-5.0404353944005912e+16,6.4804715541829570e-09
-5.0379326955950296e+16,5.4974948893099505e-09
-5.0354299967894680e+16,4.7717878922851584e-09
-5.0329272979839072e+16,3.8167576435201757e-09
-5.0304245991783456e+16,2.6781776059310186e-09
-5.0279219003727840e+16,1.6314991016949538e-09
-5.0254192015672232e+16,1.4920673118585576e-09
-5.0229165027616616e+16,1.5418013365793137e-09
-5.0204138039561000e+16,2.4007733738481233e-09
-5.0179111051505384e+16,2.8060008061520097e-09
-5.0154084063449776e+16,4.8455969942784444e-09
-5.0129057075394160e+16,5.7309395397148130e-09
-5.0104030087338544e+16,7.3427455236976839e-09
-5.0079003099282928e+16,7.1373136160121888e-09
-5.0053976111227320e+16,8.5042831850668246e-09
-5.0028949123171704e+16,7.1828054341594546e-09
