x_m,g1,g1_fit,residual
0.0000000000000000e+00,9.5457075619631648e-01,9.4818213310176391e-01,6.3886230945525702e-03
1.6736401673640165e-08,9.2886055125585409e-01,9.4278213042179038e-01,-1.3921579165936282e-02
3.3472803347280330e-08,9.4937298065189168e-01,9.3658091501427343e-01,1.2792065637618255e-02
5.0209205020920495e-08,9.4509202412083426e-01,9.2959389126487835e-01,1.5498132855955915e-02
6.6945606694560660e-08,8.9381382964597567e-01,9.2183762825908266e-01,-2.8023798613106998e-02
8.3682008368200825e-08,8.9488908118014654e-01,9.1332981836808291e-01,-1.8440737187936374e-02
1.0041841004184099e-07,9.0694763866662909e-01,9.0408923401263142e-01,2.8584046539976704e-03
1.1715481171548116e-07,8.9018076070808072e-01,8.9413568271215693e-01,-3.9549220040762112e-03
1.3389121338912132e-07,8.8387411037778618e-01,8.8348996052916773e-01,3.8414984861845358e-04
1.5062761506276149e-07,8.5986174926964432e-01,8.7217380402128808e-01,-1.2312054751643764e-02
1.6736401673640165e-07,8.7373228905942446e-01,8.6020984081536511e-01,1.3522448244059349e-02
1.8410041841004182e-07,8.5946865450300791e-01,8.4762153891990000e-01,1.1847115583107914e-02
2.0083682008368198e-07,8.3545393312795357e-01,8.3443315489359504e-01,1.0207782343585325e-03
2.1757322175732215e-07,8.3746045385245960e-01,8.2066968098906645e-01,1.6790772863393144e-02
2.3430962343096231e-07,8.1310560302440127e-01,8.0635679139176131e-01,6.7488116326399616e-03
2.5104602510460248e-07,7.7822418308543084e-01,7.9152078767482892e-01,-1.3296604589398076e-02
2.6778242677824264e-07,7.8117219633300472e-01,7.7618854359112743e-01,4.9836527418772869e-03
2.8451882845188281e-07,7.4531959959622551e-01,7.6038744932371860e-01,-1.5067849727493088e-02
3.0125523012552297e-07,7.5650426625549549e-01,7.4414535531608739e-01,1.2358910939408108e-02
3.1799163179916314e-07,7.2579468496783694e-01,7.2749051580295931e-01,-1.6958308351223694e-03
3.3472803347280330e-07,7.0660704105120953e-01,7.1045153216194623e-01,-3.8444911107367030e-03
3.5146443514644347e-07,6.8165200435068618e-01,6.9305729620535772e-01,-1.1405291854671540e-02
3.6820083682008363e-07,6.9236905141949456e-01,6.7533693353036495e-01,1.7032117889129617e-02
3.8493723849372380e-07,6.5358659068780434e-01,6.5731974704430851e-01,-3.7331563565041748e-03
4.0167364016736396e-07,6.3109154326424721e-01,6.3903516078029221e-01,-7.9436175160449984e-03
4.1841004184100413e-07,6.1361446643062123e-01,6.2051266411633510e-01,-6.8981976857138694e-03
4.3514644351464429e-07,6.0805894441511754e-01,6.0178175650923915e-01,6.2771879058783897e-03
4.5188284518828446e-07,5.8656131479047202e-01,5.8287189285199892e-01,3.6894219384731031e-03
4.6861924686192462e-07,5.6813306441840461e-01,5.6381242956103561e-01,4.3206348573689990e-03
4.8535564853556484e-07,5.4915327800901403e-01,5.4463257149677979e-01,4.5207065122342405e-03
5.0209205020920495e-07,5.5548019867825271e-01,5.2536131981817780e-01,3.0118878860074916e-02
5.1882845188284506e-07,4.9786830699670281e-01,5.0602742086855113e-01,-8.1591138718483114e-03
5.3556485355648528e-07,4.7686303065693575e-01,4.8665931618691949e-01,-9.7962855299837392e-03
5.5230125523012550e-07,4.5292350276204491e-01,4.6728509373539817e-01,-1.4361590973353267e-02
5.6903765690376561e-07,4.5498225833281514e-01,4.4793244042963065e-01,7.0498179031844854e-03
5.8577405857740572e-07,4.4334597576696716e-01,4.2862859605540637e-01,1.4717379711560785e-02
6.0251046025104594e-07,4.0545414161495447e-01,4.0940030865066812e-01,-3.9461670357136547e-03
6.1924686192468616e-07,3.7542233659498908e-01,3.9027379142803598e-01,-1.4851454833046895e-02
6.3598326359832627e-07,3.5665379686681364e-01,3.7127468130877450e-01,-1.4620884441960857e-02
6.5271966527196638e-07,3.5993623515764800e-01,3.5242799913482459e-01,7.5082360228234113e-03
6.6945606694560660e-07,3.4266680192869198e-01,3.3375811162111746e-01,8.9086903075745183e-03
6.8619246861924682e-07,3.2121387724253669e-01,3.1528869510589630e-01,5.9251821366403945e-03
7.0292887029288693e-07,2.8486328448367998e-01,2.9704270115220155e-01,-1.2179416668521570e-02
