s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
0.0000000000000000e+00,2.7500000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8796732504835505e-01,4.6918967799935568e-02,0.0000000000000000e+00,0.0000000000000000e+00
1.4175677474842774e-02,2.7499350475254123e+00,1.3120110437958406e-02,5.3673378077576366e-03,5.0127911187080332e-01,4.7348404776542209e-02,6.6510815498442002e-04,6.9574774583580634e-04
2.8351354949685548e-02,2.7497773568802368e+00,2.6239404405953133e-02,1.0734426845210691e-02,5.1439414497846248e-01,4.9344693509901005e-02,1.3363038700449873e-03,1.3603468278775566e-03
4.2527032424528322e-02,2.7495269316011925e+00,3.9357392589531824e-02,1.6101118004438853e-02,5.1441960666709541e-01,4.7417266510866238e-02,2.0357983303363114e-03,1.9434311771360235e-03
5.6702709899371095e-02,2.7491837734335709e+00,5.2473585528194325e-02,2.1467262120645082e-02,4.8803722440751407e-01,4.6424718297611467e-02,2.7079702071330148e-03,2.6239818947768612e-03
7.0878387374213869e-02,2.7487291807453471e+00,6.5586834626237336e-02,2.6832509128123173e-02,4.8819324871739556e-01,4.6349387679322944e-02,3.3660720405803866e-03,3.3249727560056286e-03
8.5054064849056643e-02,2.7481634699926336e+00,7.8696169027541590e-02,3.2196562993089671e-02,5.1451309699060732e-01,4.7289679201573460e-02,4.0231060114789205e-03,4.0040220535142446e-03
9.9229742323899417e-02,2.7475050724677672e+00,9.1801585668390057e-02,3.7559422595293768e-02,5.1457688252779787e-01,4.9058621207105191e-02,4.6934692517292056e-03,4.5845360800322865e-03
1.1340541979874219e-01,2.7467539952476394e+00,1.0490259436961442e-01,4.2920938333066920e-02,5.0134860906822620e-01,4.7018481013076728e-02,5.3889084433216107e-03,5.2455053048414690e-03
1.2758109727358496e-01,2.7459100981603668e+00,1.1799869540651239e-01,4.8280957662156863e-02,4.8834398203122886e-01,4.6460868109275411e-02,6.0554272655200048e-03,5.9360490356694662e-03
1.4175677474842774e-01,2.7449367027937428e+00,1.3108680557889749e-01,5.3638539815165809e-02,5.0150411421895136e-01,4.6836603370143538e-02,6.7140415470383014e-03,6.6250183386586947e-03
1.5593245222327051e-01,2.7438707165826774e+00,1.4416838480202834e-01,5.8994129436841389e-02,5.1485288510018690e-01,4.8691513795081749e-02,7.3779821304305908e-03,7.2816644150459631e-03
1.7010812969811329e-01,2.7427121520582007e+00,1.5724294161214591e-01,6.4347576108698928e-02,5.1486379643427871e-01,4.6733610210927611e-02,8.0682173257515272e-03,7.8564261574283201e-03
1.8428380717295606e-01,2.7414610200625940e+00,1.7030998369111969e-01,6.9698729094164885e-02,4.8873773948292820e-01,4.5680847590565551e-02,8.7306979113366563e-03,8.5264446459842880e-03
1.9845948464779883e-01,2.7400990700038359e+00,1.8336724376600411e-01,7.5046895438347083e-02,4.8889458342381720e-01,4.5421337876236485e-02,9.3782548735579611e-03,9.2152378278669289e-03
2.1263516212264161e-01,2.7386261194996964e+00,1.9641371993364581e-01,8.0391767797163602e-02,5.1464907673626659e-01,4.6294467052464622e-02,1.0022133109767351e-02,9.8816568518458325e-03
2.2681083959748438e-01,2.7370607407326477e+00,2.0945055666968651e-01,8.5733694601663565e-02,5.1539993811985685e-01,4.7867556295135338e-02,1.0678388543572824e-02,1.0451737330509747e-02
2.4098651707232716e-01,2.7354029502809762e+00,2.2247725953617506e-01,9.1072523804768338e-02,5.0251677726127886e-01,4.5855135489908314e-02,1.1356943583121542e-02,1.1093931235795829e-02
2.5516219454716993e-01,2.7336527631580170e+00,2.3549333283288931e-01,9.6408102893699263e-02,4.8947174904256552e-01,4.5072945403489502e-02,1.2006971194391699e-02,1.1766423609019583e-02
2.6933787202201270e-01,2.7317745495564814e+00,2.4849354440026661e-01,1.0173882936775522e-01,5.0121653467062821e-01,4.5432789455469448e-02,1.2645910731272763e-02,1.2437314430080448e-02
2.8351354949685548e-01,2.7298032726367008e+00,2.6148139287162131e-01,1.0706577128148304e-01,5.1595012806558749e-01,4.7017714969767588e-02,1.3289951301375936e-02,1.3076868581008316e-02
2.9768922697169825e-01,2.7277397894604625e+00,2.7445648454516869e-01,1.1238880652615067e-01,5.1615313711257438e-01,4.5282171545840189e-02,1.3956459264391447e-02,1.3630379728055697e-02
3.1186490444654102e-01,2.7255841211904057e+00,2.8741832080082724e-01,1.1770778078481214e-01,4.9078517835414559e-01,4.4177960990942795e-02,1.4598364723585779e-02,1.4276827611067411e-02
3.2604058192138380e-01,2.7233202930952656e+00,3.0036384485917356e-01,1.2302175491734185e-01,4.9044749788587749e-01,4.3535375296419633e-02,1.5224617250089570e-02,1.4940995209133945e-02
