t,phi_model_real,phi_model_imag,phi_model_abs
20.0,1.9962577217006105e-05,-0.0007893953759740039,0.0007896477468455691
20.01,7.271705273107866e-05,-0.0008674867471202598,0.0008705291644667534
20.02,0.00013557467586311714,-0.0009503918229461085,0.0009600130779620746
20.03,0.00020986290468886704,-0.001038068824382436,0.0010590700273915702
20.04,0.00029705040254430197,-0.0011304082137089913,0.00116878640960292
20.05,0.00039875962073402364,-0.001227219381251566,0.00129037848898973
20.06,0.00051678025861271,-0.001328215385542864,0.001425208036072137
20.07,0.0006530836257072059,-0.0014329954966387675,0.001574799769987873
20.08,0.0008098379232277592,-0.0015410252619569745,0.0017408607985383013
20.09,0.0009894244527802493,-0.001651613780006133,0.0019253022687530502
20.1,0.0011944547478903648,-0.0017638878292415812,0.00213026346232207
20.11,0.001427788608584712,-0.0018767624564690708,0.0023581385940644136
20.12,0.0016925530001512265,-0.001988907581122644,0.002611606598354363
20.13,0.001992161753651822,-0.0020987101176762435,0.00289366421872852
20.14,0.0023303359770076417,-0.002204231057621965,0.0032076627505274627
20.15,0.002711125050626663,-0.00230315688399196,0.0035573488263614212
20.16,0.0031389280395721403,-0.0023927446143084774,0.003946909680612723
20.17,0.003618515304016705,-0.002469759681020144,0.004381023383570993
20.18,0.004155050029838251,-0.0025304057606715213,0.0048649145998772144
20.19,0.00475410933014815,-0.002570245552872293,0.005404416501812337
20.2,0.005421704484515469,-0.002584111386083604,0.0060060395580700315
20.21,0.006164299783642098,-0.00256600438758693,0.006677048025866325
20.22,0.006988829330781665,-0.0025089807979595787,0.00742554510183084
20.23,0.007902711014609244,-0.002405023833864387,0.00826056783894921
20.24,0.008913856708177612,-0.002244899304800194,0.009192193117130177
20.25,0.010030677561267506,-0.002017992967179411,0.010231656168661113
20.26,0.011262083034286868,-0.001712127350077909,0.011391483412359292
20.27,0.012617472065619402,-0.001313355508245473,0.012685641647852295
20.28,0.014106714464515065,-0.0008057288462979664,0.014129706010993831
20.29,0.015740120270846654,-0.00017103580968809166,0.01574104950087234
20.3,0.017528394412391016,0.0006114921508788512,0.01753905736711432
20.31,0.019482573509117335,0.0015655113692271694,0.01954537020333307
20.32,0.02161394110993666,0.0027179380201744928,0.021784160240535325
20.33,0.023933916985658766,0.004099366496754225,0.024282446086651074
20.34,0.026453915325298227,0.005744539767493488,0.027070452031289813
20.35,0.029185165770914973,0.00769287805020115,0.03018201904729128
20.36,0.032138490155070615,0.009989072897114802,0.03365507579536026
20.37,0.03532402654684671,0.012683754637065952,0.03753217930224174
20.38,0.03875089073408169,0.01583424207615462,0.0418611365685525
20.39,0.04242676353348622,0.0195053844343935,0.046695720209242265
20.4,0.04635739028089653,0.023770506708826043,0.05209649338342941
20.41,0.05054597645956408,0.028712471024298785,0.058131761787958945
20.42,0.05499246061282868,0.034424868084103076,0.06487867343635666
20.43,0.05969264238769734,0.04101335459174936,0.07242449040272282
20.44,0.06463713968204104,0.048597154513638705,0.08086806077245924
20.45,0.06981014432218992,0.057310744327125976,0.09032152382247648
20.46,0.07518794036192615,0.06730574499346238,0.10091228708632835
20.47,0.08073714283077446,0.07875304636101994,0.11278532060342708
20.48,0.08641260740726771,0.09184519310230269,0.12610582149497243
20.49,0.09215495285975192,0.10679906519052242,0.14106231127467234
20.5,0.09788762795862412,0.12385889041515323,0.1578702392543919
20.51,0.10351344265276591,0.1432996316246004,0.17677617835436324
20.52,0.10891046930704,0.16543079739456698,0.19806271494474162
20.53,0.11392720334706034,0.19060073180552278,0.22205415246575158
20.54,0.1183768533155305,0.21920144715800444,0.24912317001244594
20.55,0.12203060760102795,0.2516740729889946,0.2796986024390287
20.56,0.1246096983483489,0.28851500595458307,0.314274538554175
20.57,0.12577605159230837,0.33028285835697363,0.3534209694947425
20.58,0.12512127563866832,0.3776063187405938,0.39779626138297297
20.59,0.12215369616940357,0.4311930565839573,0.4481617760742908
20.6,0.11628309532752824,0.49183982531536413,0.5053990225803755
20.61,0.10680275179952728,0.5604439444777076,0.5705297912411614
20.62,0.09286830809690177,0.6380163738518,0.6447398048451646
20.63,0.07347290801789207,0.7256966309332705,0.7294065179037715
20.64,0.04741794953600385,0.8247698498701235,0.8261318098178916
20.65,0.013278683661409192,0.9366863366738144,0.9367804528016104
20.66,-0.030636244664763106,1.0630840445402792,1.0635253947336085
20.67,-0.08633237508883548,1.2058144773337858,1.2089010847609618
20.68,-0.15618537544765695,1.366972632229626,1.3758662902944159
20.69,-0.243006811260107,1.5489317185649556,1.5678781135966506
20.7,-0.3501214526651342,1.7543835444595757,1.7889792208650406
20.71,-0.4814581220193635,1.9863856523651633,2.0439006539410345
20.72,-0.6416564237184487,2.2484165173915667,2.338183012892355
20.73,-0.8361920892201086,2.544440407909918,2.6783192863210097
20.74,-1.0715241215177358,2.878983858410419,3.071923176119823
20.75,-1.35526744161944,3.2572261343175346,3.5279274267471616
20.76,-1.6963953322894232,3.6851065946871264,4.05681743952324
20.77,-2.105476648701613,4.169452502088118,4.670906345175061
20.78,-2.5949535286390897,4.7181316139420515,5.3846587396302
20.79,-3.1794661924377148,5.340234844975505,6.215071477331933
20.8,-3.8762323795693776,6.046295449810036,7.182121283215401
20.81,-4.705490026890193,6.848552576867083,8.309290510704017
20.82,-5.691012952266727,7.761268734022694,9.624184162025678
20.83,-6.860710561513838,8.801112732776721,11.159253323762842
20.84,-8.247323935891025,9.987622096611508,12.95264248129483
20.85,-9.889232064650217,11.34376179130075,15.049180788543968
20.86,-11.831383437350613,12.896599525011586,17.501540313645066
20.87,-14.126369669748314,14.678121841748089,20.371587587804427
20.88,-16.83565926137845,16.72621986141744,23.731958486768704
20.89,-20.0310109186572,19.08587887019536,27.667890607546028
20.9,-23.796087061889,21.810612097266198,32.27935190666653
20.91,-28.228289098469354,24.9641859811904,37.68350948532033
20.92,-33.44083671515899,28.622692070419756,44.017588093488214
20.93,-39.5651137512973,32.877029441054844,51.44217424469033
20.94,-46.753303105397514,37.83587115344035,60.145028865276245
20.95,-55.18133256909439,43.62919878997598,70.34547925173472
20.96,-65.05215248408618,50.412500481433355,82.29946991082821
20.97,-76.59936474830009,58.371739987162464,96.30536178724434
20.98,-90.09122110831973,67.72921729269453,112.71058067399522
20.99,-105.83500711911721,78.75045478901696,131.91922855058164
21.0,-124.18182701495769,91.75225741264254,154.40078659478613
21.01,-145.5318045461451,107.11211024360179,180.7000561574204
