% Knot 3_1p (DHF)
% process with  doknotscad.d4.1
% calculated with knotadjust.d4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
       0.000       0.000       0.000      -0.221       0.064       0.000
       0.000       0.320       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.240      -0.186       0.000
       0.000      -0.049       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.011      -0.017       0.000
       0.000      -0.007       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.014      -0.001       0.000
       0.000       0.006       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.004      -0.004       0.000
       0.000      -0.001       0.000       0.000       0.000       0.000

% Knot Torus(2,3)
% created by knotadjust.torus
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(t) = sum_ja_x(j)cos(jt))+b_x(j)sin(jt)  etc
    0.000000   -0.225000    0.225000    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.470536    0.000000
    0.830503    0.000000    0.000000    0.830503    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.225000   -0.225000    0.000000    0.000000    0.000000

% Knot 3_1 (trefoil knot)
    0.000000    0.224483    0.224483    0.000000    0.000000    0.000000
    0.995730    0.000000    0.000000    0.995730    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.445727    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.000000    0.221238   -0.221238    0.000000    0.000000    0.000000


% Knot 4_1z (DHF)
% Z_4 symmetry
% process with doknotadjust.z4
% calculated with knotadjust.z4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.042736    0.107483    0.107483   -0.042736    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.224222    0.261267
    0.128948   -0.257909    0.257909    0.128948    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.016853   -0.002091   -0.002091   -0.016853    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.005390    0.009560
    0.016285   -0.027351    0.027351    0.016285    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
   -0.005531   -0.005771   -0.005771    0.005531    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000   -0.003257    0.004711


% Knot 4_1d (DHF, based on Wikipedia)
% adjusted with knotadjust.f
% shortened with knotshorten.f
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
    0.000000   -0.224010    0.251151    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000    0.087741
    0.000000    0.270501   -0.291798    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.125769
    0.000000    0.043184   -0.023667    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.051850
    0.000000   -0.015688   -0.031008    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.019038
    0.000000    0.005270   -0.016850    0.000000    0.000000    0.000000
    0.000000    0.000000    0.000000    0.000000    0.000000   -0.013303

% Knot 4_1p (DHF)
% calculated with knotadjust.1.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.000000    0.000000
   -0.008134   -0.169732    0.000000    0.000000    0.057138   -0.004603
    0.000000    0.000000   -0.294206    0.133136    0.000000    0.000000
    0.090742   -0.211535    0.000000    0.000000   -0.150541   -0.056096
    0.000000    0.000000   -0.010216   -0.020960    0.000000    0.000000
   -0.044920    0.044266    0.000000    0.000000   -0.037222    0.032994
    0.000000    0.000000    0.013593    0.034361    0.000000    0.000000
   -0.006513   -0.007971    0.000000    0.000000   -0.011907   -0.001465
    0.000000    0.000000    0.010551    0.003953    0.000000    0.000000
   -0.011081    0.002646    0.000000    0.000000    0.002309    0.014844
    0.000000    0.000000    0.013148   -0.002462    0.000000    0.000000

% knot 4_1 (original coordinates from KnotServer 3)
% figure-eight knot
% process with doknotscad
% calculated with knotadjust.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
    0.000000    0.202133    0.104879    0.000000    0.000000   -0.027544
    0.000000   -0.157892    0.416665    0.000000    0.000000   -0.019152
    0.000000    0.208010   -0.028687    0.000000    0.000000    0.073987
    0.000000    0.090498    0.015927    0.000000    0.000000   -0.137270
    0.000000   -0.007121    0.046353    0.000000    0.000000   -0.043524
    0.000000   -0.017092    0.017575    0.000000    0.000000   -0.015281
    0.000000    0.003004    0.005912    0.000000    0.000000    0.028173
    0.000000    0.015030   -0.001752    0.000000    0.000000    0.002405
    0.000000   -0.006611    0.004241    0.000000    0.000000    0.002069
    0.000000    0.005477   -0.004959    0.000000    0.000000   -0.001230

% Knot 5_1p (DHF)
% process with  doknotscad.d4
% calculated with knotadjust.d4.f
% lines  a_x(j) b_x(j)  a_y(j)  b_y(j)  a_z(j)  b_z(j)
% corresponding to  x(s) = sum_ja_x(j)cos(js))+b_x(j)sin(js)  etc
       0.000       0.000       0.000      -0.186       0.037       0.000
       0.000       0.382       0.000       0.000       0.000       0.000
       0.000       0.000       0.000       0.120      -0.053       0.000
       0.000      -0.064       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.039       0.022       0.000
       0.000      -0.024       0.000       0.000       0.000       0.000
       0.000       0.000       0.000      -0.079       0.088       0.000
       0.000       0.014       0.000       0.000       0.000       0.000
