density_mode,inner_radius,Lambda_for_n0_1,n0_required_for_Eeff_over_2
constant,0.0152703116982,0.19473087465650946,703.7273265994603
constant,0.05,0.6613459662122951,207.20990953229816
constant,0.1,1.396242437334927,98.14730892291867
constant,0.25,4.188781941618966,32.715342965653385
constant,0.5,12.56636694182824,10.905095996541291
linear_ramp,0.0152703116982,5.945441638463922e-30,2.304916037554534e+31
linear_ramp,0.05,6.607265391444654e-29,2.0740416754841032e+30
linear_ramp,0.1,2.7897342763877223e-28,4.9122039682518594e+29
linear_ramp,0.25,2.0923007072907724e-27,6.549605291002539e+28
linear_ramp,0.5,1.2553804243743705e-26,1.0916008818338374e+28
gp_wall,0.0152703116982,5.945441638463922e-30,2.304916037554534e+31
gp_wall,0.05,6.607265391444654e-29,2.0740416754841032e+30
gp_wall,0.1,2.7897342763877223e-28,4.9122039682518594e+29
gp_wall,0.25,2.0923007072907724e-27,6.549605291002539e+28
gp_wall,0.5,1.2553804243743705e-26,1.0916008818338374e+28
power,0.0152703116982,0.19473087465650946,703.7273265994603
power,0.05,0.6613459662122951,207.20990953229816
power,0.1,1.396242437334927,98.14730892291867
power,0.25,4.188781941618966,32.715342965653385
power,0.5,12.56636694182824,10.905095996541291
