ell,m,quadratic_stiffness_k_l,classification
2,-2,4,positive_shape_mode
2,-1,4,positive_shape_mode
2,0,4,positive_shape_mode
2,1,4,positive_shape_mode
2,2,4,positive_shape_mode
3,-3,10,positive_shape_mode
3,-2,10,positive_shape_mode
3,-1,10,positive_shape_mode
3,0,10,positive_shape_mode
3,1,10,positive_shape_mode
3,2,10,positive_shape_mode
3,3,10,positive_shape_mode
4,-4,18,positive_shape_mode
4,-3,18,positive_shape_mode
4,-2,18,positive_shape_mode
4,-1,18,positive_shape_mode
4,0,18,positive_shape_mode
4,1,18,positive_shape_mode
4,2,18,positive_shape_mode
4,3,18,positive_shape_mode
4,4,18,positive_shape_mode
