normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_normalized,correction_to_leading_ratio,gate
raw,no normalization,1.0,-148.8003391177319,-148.8003391177319,0.5424271022024673,FAIL_NOT_SUBLEADING
Mmax,divide by pair-fit M_max,475.0,-148.8003391177319,-0.31326387182680404,0.0011419517941104575,PASS_SUBLEADING_CORRECTION
sqrtM,divide by sqrt(M_max),21.79449471770337,-148.8003391177319,-6.827427799776585,0.024888262344612246,PASS_SUBLEADING_CORRECTION
L,divide by restored longitudinal length,16.372460056045686,-148.8003391177319,-9.088453330065446,0.0331304581196502,PASS_SUBLEADING_CORRECTION
L2,divide by restored longitudinal length squared,268.0574482868115,-148.8003391177319,-0.5551061538067059,0.002023547958354399,PASS_SUBLEADING_CORRECTION
L3,divide by restored longitudinal length cubed,4388.759864801354,-148.8003391177319,-0.03390487146748162,0.00012359461873337626,PASS_SUBLEADING_CORRECTION
NsoftV,divide by N_soft V_soft,16.755160819145562,-148.8003391177319,-8.880866064126508,0.03237373296845077,PASS_SUBLEADING_CORRECTION
NsoftV_L,divide by N_soft V_soft L,274.32320124408244,-148.8003391177319,-0.5424271022024673,0.001977328566240506,PASS_SUBLEADING_CORRECTION
leading_full,divide by full leading length term N_soft V_soft L,274.32320124408244,-148.8003391177319,-0.5424271022024673,0.001977328566240506,PASS_SUBLEADING_CORRECTION
leading_half,divide by half leading length term,137.16160062204122,-148.8003391177319,-1.0848542044049345,0.003954657132481012,PASS_SUBLEADING_CORRECTION
M_L,divide by M_max times length,7776.918526621701,-148.8003391177319,-0.019133585958032516,6.974833288347409e-05,PASS_SUBLEADING_CORRECTION
sqrtM_L,divide by sqrt(M_max) times length,356.8294942072971,-148.8003391177319,-0.417006838093063,0.001520129672597492,PASS_SUBLEADING_CORRECTION
M_L2,divide by M_max times length squared,127327.28793623546,-148.8003391177319,-0.0011686445343299073,4.2601009649566295e-06,PASS_SUBLEADING_CORRECTION
