knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.21434025055787412,0.21493140544435865,-0.0005911548864845351,-0.00029557744324226753
3_1,0_1,2,0.42827607700453474,0.4298450458715206,-0.001568968866985876,-0.000784484433492938
3_1,0_1,3,0.6373774842752251,0.6393613915703398,-0.001983907295114662,-0.000991953647557331
3_1,0_1,4,0.8302840895014807,0.8244774824361355,0.005806607065345193,0.0029033035326725964
3_1,0_1,5,0.9108770858600399,0.9051166376360431,0.005760448223996795,0.0028802241119983973
3_1,0_1,6,0.990161432790164,0.984614868699316,0.005546564090847972,0.002773282045423986
3_1,0_1,7,1.0656430658985525,1.0602628970785664,0.005380168819986153,0.0026900844099930765
3_1,0_1,8,1.1395890027045692,1.134569195769283,0.005019806935286253,0.0025099034676431264
3_1,0_1,9,1.2095392936053817,1.2045752812464796,0.004964012358902092,0.002482006179451046
3_1,0_1,10,1.2488854490152748,1.2440160057447036,0.00486944327057115,0.002434721635285575
3_1,0_1,11,1.288111945112758,1.2833322418323352,0.004779703280422876,0.002389851640211438
3_1,0_1,12,1.3256869159113995,1.3210117766475644,0.004675139263835115,0.0023375696319175576
3_1,0_1,13,1.3600408076853203,1.355485704000979,0.004555103684341422,0.002277551842170711
3_1,0_1,14,1.3917426195400415,1.3872386341446707,0.00450398539537078,0.00225199269768539
3_1,0_1,15,1.4197084683681787,1.415290617057069,0.004417851311109722,0.002208925655554861
3_1,0_1,16,1.4459786356856663,1.4416394672386967,0.004339168446969577,0.0021695842234847884
3_1,0_1,17,1.467541168571642,1.4663934032271515,0.001147765344490459,0.0005738826722452295
3_1,0_1,18,1.4882440722866468,1.491140084517086,-0.0028960122304391156,-0.0014480061152195578
3_1,0_1,19,1.5040379937347634,1.512712561241704,-0.008674567506940623,-0.004337283753470311
3_1,0_1,20,1.5191925604493426,1.533430562274895,-0.014238001825552349,-0.007119000912776174
