normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,314.9074557226224,314.9074557226224,1.1480009190913727,FAIL_NOT_SUBLEADING
Mmax,M_max,95.0,314.9074557226224,3.314815323396025,0.012084220200961816,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),9.746794344808963,314.9074557226224,32.308823248162476,0.11778240911616088,FAIL_NOT_SUBLEADING
Lcert,certified length,16.371637,314.9074557226224,19.234940019902858,0.07012132745744194,FAIL_NOT_SUBLEADING
Lcert2,certified length squared,268.030498059769,314.9074557226224,1.1748941184014072,0.004283098107870456,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,314.9074557226224,0.07176399760154754,0.0002616169725648361,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,314.9074557226224,18.794654323030322,0.06851625785528662,FAIL_NOT_SUBLEADING
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,314.9074557226224,1.1480009190913727,0.004185058455381501,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,314.9074557226224,1.1480009190913727,0.004185058455381501,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,314.9074557226224,2.2960018381827454,0.008370116910763002,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,1555.305515,314.9074557226224,0.20247305284108272,0.0007381192363941258,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,159.57097892686517,314.9074557226224,1.973463206407672,0.007194296399080978,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,25462.897315678056,314.9074557226224,0.012367306509488496,4.508524324074164e-05,PASS_SUBLEADING_CORRECTION
