knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.23687561642214927,0.2156883937230632,0.021187222699086072,0.010593611349543036
3_1,0_1,2,0.47367185039993587,0.4313131905479899,0.04235865985194598,0.02117932992597299
3_1,0_1,3,0.6975883148599326,0.6456598547846,0.05192846007533258,0.02596423003766629
3_1,0_1,4,0.8962144004301931,0.819917513254004,0.0762968871761891,0.03814844358809455
3_1,0_1,5,1.0179473122929303,0.9024502052409701,0.11549710705196026,0.05774855352598013
3_1,0_1,6,1.1396317147482462,0.9844071553879159,0.1552245593603303,0.07761227968016515
3_1,0_1,7,1.261161012321384,1.0663410457434779,0.194819966577906,0.097409983288953
3_1,0_1,8,1.371029958127668,1.1480672857551082,0.22296267237255973,0.11148133618627987
3_1,0_1,9,1.4747196252157493,1.2289575857040458,0.2457620395117035,0.12288101975585175
3_1,0_1,10,1.5783675966571447,1.2688500447542412,0.3095175519029034,0.1547587759514517
3_1,0_1,11,1.6556154229203417,1.307994303238191,0.3476211196821506,0.1738105598410753
3_1,0_1,12,1.732776532855754,1.347033176500427,0.38574335635532697,0.19287167817766349
3_1,0_1,13,1.790030669963207,1.3852779711987424,0.4047526987644645,0.20237634938223226
3_1,0_1,14,1.845854070232928,1.423234944027767,0.42261912620516107,0.21130956310258053
3_1,0_1,15,1.9016133357018308,1.4606337161034737,0.4409796195983571,0.22048980979917854
3_1,0_1,16,1.9568832412442205,1.4975870033084122,0.4592962379358083,0.22964811896790416
3_1,0_1,17,2.012028186131759,1.5205606199709205,0.4914675661608383,0.24573378308041915
3_1,0_1,18,2.065963640094013,1.5427873446036848,0.5231762954903281,0.26158814774516403
3_1,0_1,19,2.1187145839876593,1.5644952541957697,0.5542193297918896,0.2771096648959448
3_1,0_1,20,2.1654745896985452,1.5858403188560333,0.579634270842512,0.289817135421256
3_1,0_1,21,2.2120125476098766,1.606888117744902,0.6051244298649747,0.30256221493248736
3_1,0_1,22,2.251057994405548,1.627396652695873,0.623661341709675,0.3118306708548375
3_1,0_1,23,2.289377229297899,1.6468164039452848,0.642560825352614,0.321280412676307
3_1,0_1,24,2.323307886138029,1.6656911753772905,0.6576167107607385,0.32880835538036923
3_1,0_1,25,2.356942899275282,1.6843389494925203,0.6726039497827616,0.3363019748913808
3_1,0_1,26,2.382240645984567,1.6996733208664268,0.6825673251181403,0.34128366255907017
3_1,0_1,27,2.4073308989930196,1.715007491428476,0.6923234075645435,0.34616170378227173
3_1,0_1,28,2.4313195657514592,1.7298165594391608,0.7015030063122984,0.3507515031561492
3_1,0_1,29,2.4546777854696287,1.7444786102053391,0.7101991752642896,0.3550995876321448
3_1,0_1,30,2.4774096629025166,1.7588071929726907,0.7186024699298259,0.35930123496491295
3_1,0_1,31,2.499252264404652,1.77141922362429,0.7278330407803622,0.3639165203901811
3_1,0_1,32,2.5209425826101297,1.7836896523045207,0.737252930305609,0.3686264651528045
3_1,0_1,33,2.5418593672386653,1.7958696900896356,0.7459896771490298,0.3729948385745149
