normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,102.26729118803352,102.26729118803352,0.3728172901065216,FAIL_NOT_SUBLEADING
Mmax,M_max,163.0,102.26729118803352,0.6274066944051137,0.0022872226386903166,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),12.767145334803704,102.26729118803352,8.010192451498861,0.0292013038412125,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,102.26729118803352,6.246613651892814,0.022772144905639037,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,102.26729118803352,0.3815509500908684,0.0013909510029839435,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,102.26729118803352,0.023305607746547788,8.496102149002836e-05,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,102.26729118803352,6.103629340947663,0.022250892971466783,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,102.26729118803352,0.3728172901065216,0.0013591122849515162,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,102.26729118803352,0.3728172901065216,0.0013591122849515162,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,102.26729118803352,0.7456345802130432,0.0027182245699030323,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,2668.576831,102.26729118803352,0.038322783140446716,0.00013970641046404317,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,209.0190689476497,102.26729118803352,0.4892725419882484,0.0017836520465981805,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,43688.971183742346,102.26729118803352,0.0023408033747906037,8.533441736097812e-06,PASS_SUBLEADING_CORRECTION
