knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.2151482920786433,0.2152525854981237,-0.00010429341948040016,-5.214670974020008e-05
3_1,0_1,2,0.43014036528994826,0.4303546445318729,-0.00021427924192463088,-0.00010713962096231544
3_1,0_1,3,0.644635806029068,0.6448282440533397,-0.00019243802427171275,-9.621901213585637e-05
3_1,0_1,4,0.7959075435241487,0.7827915313826252,0.01311601214152347,0.006558006070761735
3_1,0_1,5,0.8801326019999194,0.8670124304201998,0.013120171579719564,0.006560085789859782
3_1,0_1,6,0.9641488808485563,0.951041782890913,0.01310709795764331,0.006553548978821655
3_1,0_1,7,1.0481478927825456,1.035055241861311,0.013092650921234572,0.006546325460617286
3_1,0_1,8,1.1318997026988848,1.1188064061519152,0.013093296546969668,0.006546648273484834
3_1,0_1,9,1.215495745785896,1.2023783137019757,0.013117432083920244,0.006558716041960122
3_1,0_1,10,1.257322983968936,1.2442061097350672,0.013116874233868758,0.006558437116934379
3_1,0_1,11,1.298832375013884,1.2857155864689942,0.013116788544889735,0.006558394272444867
3_1,0_1,12,1.3402940788732096,1.3271776234475499,0.013116455425659757,0.006558227712829878
3_1,0_1,13,1.381710511338397,1.36859541381931,0.013115097519087016,0.006557548759543508
3_1,0_1,14,1.4231078574807694,1.4099939972944235,0.01311386018634586,0.00655693009317293
3_1,0_1,15,1.464164110717316,1.4510507716639174,0.01311333905339862,0.00655666952669931
3_1,0_1,16,1.5051938988188904,1.4920807797405164,0.01311311907837398,0.00655655953918699
3_1,0_1,17,1.529013719650815,1.5159006285000534,0.013113091150761536,0.006556545575380768
3_1,0_1,18,1.5525925672406702,1.5394795143091515,0.013113052931518654,0.006556526465759327
3_1,0_1,19,1.5758981043860154,1.5627850781038795,0.013113026282135953,0.006556513141067977
3_1,0_1,20,1.5991777202315869,1.586064708663979,0.013113011567607913,0.006556505783803956
3_1,0_1,21,1.6223357556452878,1.609222808715037,0.013112946930250668,0.006556473465125334
3_1,0_1,22,1.645491308041248,1.632378466769395,0.013112841271853082,0.006556420635926541
3_1,0_1,23,1.6685704359695495,1.6554576591281656,0.0131127768413839,0.00655638842069195
3_1,0_1,24,1.6911966006607506,1.6780838429606029,0.013112757700147748,0.006556378850073874
3_1,0_1,25,1.7137925742155342,1.7006798384668265,0.013112735748707749,0.0065563678743538745
3_1,0_1,26,1.7288244896833855,1.715711755690389,0.013112733992996617,0.0065563669964983085
3_1,0_1,27,1.7438472406218357,1.7307345155393838,0.01311272508245187,0.006556362541225935
3_1,0_1,28,1.7582917269037472,1.7451790039550712,0.013112722948676048,0.006556361474338024
3_1,0_1,29,1.7727357285785141,1.759623016737397,0.013112711841117175,0.0065563559205585875
3_1,0_1,30,1.786843781646383,1.773731110010568,0.013112671635814976,0.006556335817907488
3_1,0_1,31,1.8008811134284421,1.7877684457949825,0.01311266763345964,0.00655633381672982
3_1,0_1,32,1.8148312375619946,1.8017185719505342,0.013112665611460406,0.006556332805730203
3_1,0_1,33,1.8287464090684316,1.81563376812927,0.013112640939161535,0.0065563204695807675
3_1,0_1,34,1.842621001089142,1.8295083632288411,0.013112637860300813,0.0065563189301504066
3_1,0_1,35,1.8558499245733935,1.8427372890076017,0.013112635565791786,0.006556317782895893
3_1,0_1,36,1.8689972874876537,1.855884683175001,0.013112604312652598,0.006556302156326299
3_1,0_1,37,1.8795614993668166,1.866448896177489,0.01311260318932761,0.006556301594663805
3_1,0_1,38,1.889958946392303,1.8769162883542267,0.013042658038076249,0.0065213290190381246
3_1,0_1,39,1.9003484993370352,1.8873836600126663,0.012964839324368871,0.0064824196621844354
3_1,0_1,40,1.91039700111156,1.897781104517424,0.012615896594136089,0.0063079482970680445
3_1,0_1,41,1.9203231536624474,1.9081706566564074,0.012152497006040042,0.006076248503020021
3_1,0_1,42,1.9295430658374488,1.9182191582147485,0.011323907622700302,0.005661953811350151
3_1,0_1,43,1.9387606234984356,1.928145297928154,0.010615325570281664,0.005307662785140832
3_1,0_1,44,1.9477776862901306,1.9373652108495718,0.010412475440558788,0.005206237720279394
3_1,0_1,45,1.9566185013866284,1.9465827631469352,0.01003573823969317,0.005017869119846585
3_1,0_1,46,1.9654015285298134,1.9555998243839265,0.00980170414588688,0.00490085207294344
3_1,0_1,47,1.9736265936574802,1.9644406251431177,0.009185968514362486,0.004592984257181243
3_1,0_1,48,1.9817321328990416,1.9732236494227862,0.008508483476255435,0.0042542417381277176
3_1,0_1,49,1.9896662033315968,1.981448675724641,0.008217527606955821,0.004108763803477911
3_1,0_1,50,1.9972181061288934,1.9895541748446808,0.007663931284212611,0.0038319656421063053
3_1,0_1,51,2.0047664535895877,1.9974882517714934,0.007278201818094354,0.003639100909047177
3_1,0_1,52,2.0118591428554407,2.0045809453724637,0.007278197482976978,0.003639098741488489
3_1,0_1,53,2.018935761163827,2.01165756620029,0.00727819496353721,0.003639097481768605
3_1,0_1,54,2.0252517710962388,2.0179735764044264,0.007278194691812345,0.0036390973459061726
3_1,0_1,55,2.0315076136271695,2.0242294194669666,0.007278194160202922,0.003639097080101461
3_1,0_1,56,2.037538913893057,2.030260723550845,0.007278190342211666,0.003639095171105833
3_1,0_1,57,2.043461776479286,2.036183599533285,0.007278176946000858,0.003639088473000429
3_1,0_1,58,2.0492159155942358,2.0419377414410786,0.007278174153157124,0.003639087076578562
3_1,0_1,59,2.0547617455411404,2.0474835717262208,0.007278173814919686,0.003639086907459843
3_1,0_1,60,2.06027901962722,2.053000846689187,0.007278172938032679,0.0036390864690163394
3_1,0_1,61,2.0656526368269397,2.058374464496276,0.007278172330663857,0.0036390861653319284
3_1,0_1,62,2.0709445824276185,2.0636664102003315,0.007278172227286994,0.003639086113643497
3_1,0_1,63,2.076116041509325,2.0688378708513273,0.007278170657997851,0.0036390853289989256
3_1,0_1,64,2.081193203537803,2.0739150331951404,0.007278170342662538,0.003639085171331269
3_1,0_1,65,2.0859885252442965,2.0787103556370394,0.0072781696072570234,0.0036390848036285117
3_1,0_1,66,2.0907613100217013,2.083483140438336,0.007278169583365468,0.003639084791682734
3_1,0_1,67,2.0941622172937064,2.087557538858692,0.006604678435014222,0.003302339217507111
3_1,0_1,68,2.0966892625676232,2.0916319362513254,0.00505732631629785,0.002528663158148925
3_1,0_1,69,2.0992015909751127,2.0937529706364577,0.005448620338655008,0.002724310169327504
3_1,0_1,70,2.101569557803553,2.095874005014451,0.005695552789102276,0.002847776394551138
3_1,0_1,71,2.1030077102760845,2.0976236871030554,0.005384023173029107,0.0026920115865145533
3_1,0_1,72,2.104444708784341,2.099149031976755,0.005295676807585803,0.0026478384037929015
3_1,0_1,73,2.105580992951385,2.100453803822645,0.005127189128740106,0.002563594564370053
3_1,0_1,74,2.106716763443119,2.1017585754858397,0.004958187957279314,0.002479093978639657
3_1,0_1,75,2.10784899729132,2.1028204899820273,0.005028507309292607,0.0025142536546463035
3_1,0_1,76,2.108980007835257,2.1038824020244675,0.005097605810789663,0.0025488029053948313
3_1,0_1,77,2.109779792705984,2.104842789518663,0.004937003187321043,0.0024685015936605215
3_1,0_1,78,2.1105657860751506,2.1058031770045216,0.004762609070628976,0.002381304535314488
3_1,0_1,79,2.1112874077486112,2.106683034157737,0.004604373590874289,0.0023021867954371444
