normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,-58.733793667926385,-58.733793667926385,0.21411512457772125,FAIL_NOT_SUBLEADING
Mmax,M_max,303.0,-58.733793667926385,-0.19384090319447653,0.0007066505761640965,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),17.406895185529212,-58.733793667926385,-3.3741682845745666,0.012300592512082252,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,-58.733793667926385,-3.5875333461111056,0.01307841876641421,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,-58.733793667926385,-0.2191310096914014,0.0007988461243316236,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,-58.733793667926385,-0.013384795282927504,4.879451726981386e-05,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,-58.733793667926385,-3.5054150957962302,0.01277905517523049,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,-58.733793667926385,-0.21411512457772125,0.0007805606229377362,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,-58.733793667926385,-0.21411512457772125,0.0007805606229377362,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,-58.733793667926385,-0.4282302491554425,0.0015611212458754725,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,4960.606011,-58.733793667926385,-0.011840044046571307,4.3163098238990795e-05,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,284.9793692745319,-58.733793667926385,-0.20609840571071583,0.0007513355269288131,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,81213.24091211,-58.733793667926385,-0.0007232046524468693,2.6364558558799462e-06,PASS_SUBLEADING_CORRECTION
