normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_v13_mean,alpha_inv_blind_v13_std,alpha_inv_blind_v13_span,alpha_inv_blind_v13_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_cert_mean,DeltaF_phys_cert_std,stability_gate
raw,3,3,1,0.3333333333333333,125.30077939088562,49.61540395809644,97.94012544658294,0.39597043369792045,0.24445344432382377,0.47704600481317866,-23.7078520259025,99.23080791619287,FAIL_CERTIFIED_STABILITY_GATE
Mmax,3,3,3,1.0,137.02501032247233,0.37477145689413344,0.7200391761383287,0.002735058775125451,0.0017729730409827519,0.004008789956413266,-0.25939016272907206,0.7495429137882578,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM,3,3,3,1.0,135.88679370425245,4.284310023276283,8.350291085866502,0.031528523902041326,0.020678753332068707,0.04373073556255538,-2.5358233991688346,8.568620046552557,FAIL_CERTIFIED_STABILITY_GATE
Lcert,3,3,3,1.0,136.43065282357557,3.030570733891581,5.982304973325711,0.022213268581295614,0.01493152116210638,0.029138564751538205,-1.448105160522586,6.0611414677831466,FAIL_CERTIFIED_STABILITY_GATE
Lcert2,3,3,3,1.0,137.11047936949095,0.18511103892003522,0.36540664646582854,0.0013500867313080453,0.0009120359290953236,0.0017798198647782262,-0.08845206869188375,0.37022207784005634,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert3,3,3,3,1.0,137.15200402251833,0.011306813052349936,0.022319493552515723,8.244001342112015e-05,5.570829166902025e-05,0.0001087136164073407,-0.005402762637107318,0.022613626104711234,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV,3,3,3,1.0,136.44722630883436,2.961201297537092,5.845370659449003,0.02170217290335177,0.014589740257490992,0.028471586155596557,-1.4149581900050958,5.922402595074177,FAIL_CERTIFIED_STABILITY_GATE
NsoftV_Lcert,3,3,3,1.0,137.11149169863424,0.18087386725818574,0.3570425278455218,0.0013191736521672415,0.000891159525311427,0.0017390799805539641,-0.08642741040526954,0.36174773451635767,PASS_CERTIFIED_STABLE_NORMALIZER
leading_full_cert,3,3,3,1.0,137.11149169863424,0.18087386725818574,0.3570425278455218,0.0013191736521672415,0.000891159525311427,0.0017390799805539641,-0.08642741040526954,0.36174773451635767,PASS_CERTIFIED_STABLE_NORMALIZER
leading_half_cert,3,3,3,1.0,137.06827799343162,0.36174773451636144,0.7140850556910152,0.0026391790997308405,0.001782319050622854,0.0034781599611079283,-0.17285482081053907,0.7234954690327153,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert,3,3,3,1.0,137.14678346656424,0.022891507849468418,0.043980890618229296,0.00016691246612465587,0.00010829540387334218,0.0002448618886683883,-0.015843874545292697,0.04578301569893456,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM_Lcert,3,3,3,1.0,137.07725977640303,0.2616909978688295,0.5100461906079659,0.001909076664471505,0.0012630840356446153,0.002671127851329429,-0.15489125486772243,0.5233819957376624,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert2,3,3,3,1.0,137.15422152203124,0.0013982418404174868,0.0026864076340302745,1.0194668635794675e-05,6.6148182905192785e-06,1.4956469451917866e-05,-0.0009677636112560211,0.002796483680827675,PASS_CERTIFIED_STABLE_NORMALIZER
