knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.015398567323682092,0.018393242108237957,-0.0029946747845558657,-0.0014973373922779329
3_1,0_1,2,0.030791635809016962,0.0367864842164715,-0.005994848407454539,-0.0029974242037272697
3_1,0_1,3,0.03828435725221568,0.0425711401370503,-0.004286782884834625,-0.0021433914424173126
3_1,0_1,4,0.04489495639101797,0.04835579605762799,-0.0034608396666100244,-0.0017304198333050122
3_1,0_1,5,0.04927073136778448,0.05131751213536181,-0.002046780767577326,-0.001023390383788663
3_1,0_1,6,0.05364529349291802,0.054279228213091724,-0.0006339347201737011,-0.00031696736008685056
3_1,0_1,7,0.05611158403416329,0.056288262772629105,-0.00017667873846581583,-8.833936923290792e-05
3_1,0_1,8,0.0585776038649667,0.05814376527320602,0.000433838591760681,0.0002169192958803405
3_1,0_1,9,0.06061667466834377,0.059999267773782484,0.0006174068945612871,0.00030870344728064353
3_1,0_1,10,0.06256293138422307,0.061482796611535606,0.001080134772687466,0.000540067386343733
3_1,0_1,11,0.06450860286857274,0.0627717047135131,0.0017368981550596463,0.0008684490775298231
3_1,0_1,12,0.06641910794332008,0.06406061281548758,0.0023584951278324967,0.0011792475639162484
3_1,0_1,13,0.06770264529045011,0.06501270111286055,0.0026899441775895677,0.0013449720887947839
3_1,0_1,14,0.0689809785609517,0.06596478941022951,0.003016189150722187,0.0015080945753610936
3_1,0_1,15,0.07008966208447488,0.06684441226591499,0.003245249818559892,0.001622624909279946
3_1,0_1,16,0.07119825818421004,0.06772403512159858,0.003474223062611456,0.001737111531305728
3_1,0_1,17,0.07214593904645358,0.06856781700051816,0.003578122045935425,0.0017890610229677126
3_1,0_1,18,0.07303870635294991,0.06941159887943485,0.003627107473515065,0.0018135537367575325
3_1,0_1,19,0.0737980759398872,0.07014391818412756,0.0036541577557596405,0.0018270788778798203
3_1,0_1,20,0.07455487835352585,0.07087623748881727,0.0036786408647085794,0.0018393204323542897
3_1,0_1,21,0.07530674081436672,0.07151151065675561,0.0037952301576111153,0.0018976150788055576
3_1,0_1,22,0.07595955335140869,0.0721467838246915,0.0038127695267171913,0.0019063847633585956
3_1,0_1,23,0.0766121603397499,0.07277010913777045,0.003842051201979446,0.001921025600989723
3_1,0_1,24,0.077200624888247,0.0733934344508454,0.003807190437401603,0.0019035952187008015
3_1,0_1,25,0.07778441053903325,0.07397323735073094,0.0038111731883023053,0.0019055865941511527
3_1,0_1,26,0.07832072361694281,0.07455304025061571,0.0037676833663271014,0.0018838416831635507
3_1,0_1,27,0.07885287081543943,0.07504988559884881,0.0038029852165906153,0.0019014926082953076
3_1,0_1,28,0.07936749377513504,0.07554673094708159,0.0038207628280534506,0.0019103814140267253
3_1,0_1,29,0.07987530319206325,0.07603600759175251,0.003839295600310738,0.001919647800155369
3_1,0_1,30,0.0803794479883511,0.07652528423642332,0.0038541637519277777,0.0019270818759638889
3_1,0_1,31,0.08088166841404669,0.07699482212214644,0.0038868462919002533,0.0019434231459501267
3_1,0_1,32,0.0813676259157098,0.07746436000786877,0.0039032659078410276,0.0019516329539205138
3_1,0_1,33,0.08185302586665755,0.07786906633279621,0.003983959533861339,0.0019919797669306696
3_1,0_1,34,0.08231781803111535,0.07827377265772298,0.004044045373392369,0.0020220226866961843
3_1,0_1,35,0.08278226012165987,0.07867281414185032,0.004109445979809556,0.002054722989904778
3_1,0_1,36,0.08324627727745273,0.07907185562597666,0.004174421651476079,0.0020872108257380395
3_1,0_1,37,0.08369751990362016,0.0794596615558008,0.004237858347819368,0.002118929173909684
3_1,0_1,38,0.0841440584485894,0.07984746748562194,0.004296590962967459,0.0021482954814837293
3_1,0_1,39,0.08458547615408807,0.0801854014511864,0.004400074702901671,0.0022000373514508356
3_1,0_1,40,0.0850263450370587,0.08052333541675019,0.004503009620308515,0.0022515048101542576
3_1,0_1,41,0.08542709201157116,0.08085669501024406,0.004570397001327095,0.0022851985006635475
3_1,0_1,42,0.08582729033874373,0.08119005460372149,0.004637235735022241,0.0023186178675111205
3_1,0_1,43,0.08619839790003714,0.08151664614458719,0.0046817517554499505,0.0023408758777249752
3_1,0_1,44,0.08656933711911179,0.08184323768545144,0.004726099433660341,0.0023630497168301706
3_1,0_1,45,0.08688419745266605,0.08213025822078764,0.004753939231878418,0.002376969615939209
3_1,0_1,46,0.0871970565362696,0.08241727875612016,0.00477977778014943,0.002389888890074715
3_1,0_1,47,0.08750980211746334,0.08270040154680866,0.004809400570654682,0.002404700285327341
3_1,0_1,48,0.08781299276898165,0.0829835243374956,0.004829468431486045,0.0024147342157430224
3_1,0_1,49,0.08811616235148781,0.08326452715611157,0.004851635195376236,0.002425817597688118
3_1,0_1,50,0.08840774925093824,0.08354552997472632,0.004862219276211915,0.0024311096381059577
3_1,0_1,51,0.08869770029345514,0.08379350100176715,0.004904199291687991,0.0024520996458439956
3_1,0_1,52,0.08898722498828936,0.08404147202880731,0.004945752959482047,0.0024728764797410235
3_1,0_1,53,0.08925923549657067,0.08428841015176333,0.004970825344807334,0.002485412672403667
3_1,0_1,54,0.08953112479689104,0.08453534827470159,0.004995776522189452,0.002497888261094726
3_1,0_1,55,0.08979785026542131,0.08477881078239126,0.005019039483030049,0.0025095197415150247
3_1,0_1,56,0.0900623355094978,0.08502227329007804,0.005040062219419758,0.002520031109709879
3_1,0_1,57,0.0903221740895179,0.08524782539862964,0.005074348690888256,0.002537174345444128
3_1,0_1,58,0.09057390071709319,0.0854733775071798,0.005100523209913388,0.002550261604956694
3_1,0_1,59,0.09082544847045385,0.08568813908850935,0.0051373093819444965,0.0025686546909722482
3_1,0_1,60,0.0910699710321018,0.0859029006698208,0.005167070362281007,0.0025835351811405033
3_1,0_1,61,0.09131435511862032,0.08611544294227601,0.005198912176344314,0.002599456088172157
3_1,0_1,62,0.09155216773871086,0.08632798521473077,0.005224182523980089,0.0026120912619900447
3_1,0_1,63,0.09178766474707391,0.08653951666897208,0.005248148078101825,0.0026240740390509124
3_1,0_1,64,0.09201728771334806,0.08675104812319386,0.005266239590154209,0.0026331197950771046
3_1,0_1,65,0.0922451814479829,0.08695932505951345,0.005285856388469443,0.0026429281942347213
3_1,0_1,66,0.09247266733212647,0.08714800370202784,0.005324663630098633,0.0026623318150493167
3_1,0_1,67,0.09269643629907406,0.08733668234454,0.005359753954534058,0.002679876977267029
3_1,0_1,68,0.09291363060313972,0.08752224189682672,0.005391388706312991,0.0026956943531564956
3_1,0_1,69,0.09313073833058386,0.08770780144909568,0.005422936881488177,0.0027114684407440887
3_1,0_1,70,0.09334262468068397,0.08787532008874988,0.005467304591934091,0.0027336522959670456
3_1,0_1,71,0.09355391564033361,0.0880428387284023,0.005511076911931312,0.002755538455965656
3_1,0_1,72,0.0937548341457657,0.0882072400168685,0.005547594128897201,0.0027737970644486007
3_1,0_1,73,0.09395485211064515,0.08837164130533448,0.0055832108053106705,0.0027916054026553352
3_1,0_1,74,0.09415484356970318,0.08852214627351292,0.005632697296190259,0.0028163486480951294
3_1,0_1,75,0.09435388309223376,0.08867265124169069,0.005681231850543075,0.0028406159252715377
3_1,0_1,76,0.09454664301148412,0.08881994963432498,0.005726693377159142,0.002863346688579571
3_1,0_1,77,0.09473929885653075,0.0889672480269586,0.005772050829572148,0.002886025414786074
3_1,0_1,78,0.09493003473988726,0.08910436298202815,0.005825671757859113,0.0029128358789295566
3_1,0_1,79,0.09511976900624891,0.08924147793709714,0.005878291069151775,0.0029391455345758877
3_1,0_1,80,0.09530391023400239,0.08937522557591561,0.005928684658086783,0.0029643423290433915
3_1,0_1,81,0.09548803406122292,0.08950897321473131,0.005979060846491607,0.0029895304232458036
3_1,0_1,82,0.09567131442704538,0.08963596920071941,0.006035345226325969,0.0030176726131629847
3_1,0_1,83,0.09585330173625418,0.08976296518670696,0.006090336549547229,0.0030451682747736145
3_1,0_1,84,0.09603107826858547,0.08988638960649382,0.006144688662091641,0.0030723443310458204
3_1,0_1,85,0.09620855234805184,0.0900098140262777,0.006198738321774144,0.003099369160887072
