normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,-171.05302100739965,-171.05302100739965,0.6235769327189793,FAIL_NOT_SUBLEADING
Mmax,M_max,1023.0,-171.05302100739965,-0.16720725416168097,0.0006095571189823844,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),31.984371183438952,-171.05302100739965,-5.348018881670822,0.019496301151040247,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,-171.05302100739965,-10.44813179081601,0.038088856521738136,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,-171.05302100739965,-0.6381849164390836,0.002326514845261847,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,-171.05302100739965,-0.0389811303804918,0.0001421064274306746,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,-171.05302100739965,-10.208975184048551,0.03721700671511543,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,-171.05302100739965,-0.6235769327189793,0.002273261172057225,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,-171.05302100739965,-0.6235769327189793,0.002273261172057225,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,-171.05302100739965,-1.2471538654379586,0.00454652234411445,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,16748.184651,-171.05302100739965,-0.010213227557004897,3.723250881890336e-05,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,523.6365146885229,-171.05302100739965,-0.32666366116417206,0.0011908583821544692,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,274195.1995151437,-171.05302100739965,-0.000623836672960981,2.2742080598845034e-06,PASS_SUBLEADING_CORRECTION
