knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
6_1,0_1,1,0.2146289618574018,0.2148918161053173,-0.0002628542479155005,-0.00013142712395775025
6_1,0_1,2,0.42905948156669244,0.4297655884205816,-0.0007061068538891657,-0.00035305342694458286
6_1,0_1,3,0.6432538879239027,0.6437846224864516,-0.000530734562548929,-0.0002653672812744645
6_1,0_1,4,0.7967729405252411,0.7711177576265413,0.025655182898699724,0.012827591449349862
6_1,0_1,5,0.88125952005935,0.8556656527853396,0.025593867274010473,0.012796933637005237
6_1,0_1,6,0.965728896907756,0.940209481938169,0.025519414969586984,0.012759707484793492
6_1,0_1,7,1.0501668972604201,1.0246541423212767,0.0255127549391434,0.0127563774695717
6_1,0_1,8,1.1345390227353658,1.1090305190498184,0.025508503685547357,0.012754251842773678
6_1,0_1,9,1.2187893101412,1.1930740779731719,0.025715232168028068,0.012857616084014034
6_1,0_1,10,1.2614344110799978,1.2357225864760812,0.025711824603916522,0.012855912301958261
6_1,0_1,11,1.3039754328207427,1.278269253012524,0.025706179808218765,0.012853089904109383
6_1,0_1,12,1.3465100762478264,1.320815511036523,0.025694565211303422,0.012847282605651711
6_1,0_1,13,1.3890432377916055,1.3633552865248566,0.025687951266748943,0.012843975633374471
6_1,0_1,14,1.4315433055158517,1.4058568189692744,0.025686486546577347,0.012843243273288674
6_1,0_1,15,1.4739469788135324,1.4482651498615882,0.025681828951944263,0.012840914475972132
6_1,0_1,16,1.5163195530644293,1.4906380352126614,0.025681517851767977,0.012840758925883988
6_1,0_1,17,1.5411445889281679,1.5154632902404572,0.02568129868771063,0.012840649343855315
6_1,0_1,18,1.565756657794572,1.5400758609428216,0.02568079685175051,0.012840398425875255
6_1,0_1,19,1.590361537689875,1.5646814173766599,0.025680120313215093,0.012840060156607547
6_1,0_1,20,1.614951746551017,1.5892728230955573,0.025678923455459746,0.012839461727729873
6_1,0_1,21,1.6395314792138778,1.6138542479597766,0.02567723125410115,0.012838615627050576
6_1,0_1,22,1.6641063837418533,1.6384292867864472,0.025677096955406098,0.012838548477703049
6_1,0_1,23,1.6886762493245753,1.662999335209106,0.02567691411546935,0.012838457057734676
6_1,0_1,24,1.7131072110354544,1.6874302724606096,0.025676938574844765,0.012838469287422383
6_1,0_1,25,1.7375275692042893,1.711850896044031,0.025676673160258234,0.012838336580129117
6_1,0_1,26,1.7532263732947766,1.7275506775831273,0.025675695711649293,0.012837847855824647
6_1,0_1,27,1.768740961323485,1.7430658948729696,0.025675066450515427,0.012837533225257713
6_1,0_1,28,1.7842267479181662,1.7585517716902361,0.025674976227930024,0.012837488113965012
6_1,0_1,29,1.7996313067602994,1.7740115704108308,0.02561973634946857,0.012809868174734285
6_1,0_1,30,1.8149897245160507,1.7894688994915626,0.025520825024488047,0.012760412512244024
6_1,0_1,31,1.8303458638638213,1.8048734106480984,0.02547245321572289,0.012736226607861445
6_1,0_1,32,1.8456785818199637,1.8202318900172458,0.025446691802717858,0.012723345901358929
6_1,0_1,33,1.86100862204858,1.8355882100795775,0.025420411969002465,0.012710205984501233
6_1,0_1,34,1.8762782130499722,1.8509206999583137,0.025357513091658568,0.012678756545829284
6_1,0_1,35,1.8914301294555347,1.8662505099814728,0.025179619474061887,0.012589809737030944
6_1,0_1,36,1.906574514605902,1.8815200897246762,0.02505442488122589,0.012527212440612945
6_1,0_1,37,1.9179830126322988,1.8966709647804398,0.021312047851858917,0.010656023925929459
6_1,0_1,38,1.9285660282860602,1.9118153167789296,0.01675071150713059,0.008375355753565294
6_1,0_1,39,1.9390330476312363,1.9223983400271707,0.0166347076040656,0.0083173538020328
6_1,0_1,40,1.9494481246067825,1.9328653711067951,0.01658275349998739,0.008291376749993695
6_1,0_1,41,1.9596725336679528,1.9432804673395039,0.016392066328448918,0.008196033164224459
6_1,0_1,42,1.9698656980063332,1.9535048828233113,0.016360815183021904,0.008180407591510952
