knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
7_1,0_1,1,0.21461809569001788,0.2148918161053173,-0.00027372041529941105,-0.00013686020764970552
7_1,0_1,2,0.4291252197707571,0.4297655884205816,-0.0006403686498244743,-0.00032018432491223714
7_1,0_1,3,0.6431939082824594,0.6437846224864516,-0.0005907142039922597,-0.00029535710199612986
7_1,0_1,4,0.7948650351781261,0.7711177576265413,0.02374727755158479,0.011873638775792394
7_1,0_1,5,0.8793602100840889,0.8556656527853396,0.023694557298749364,0.011847278649374682
7_1,0_1,6,0.9638349201450138,0.940209481938169,0.023625438206844818,0.011812719103422409
7_1,0_1,7,1.0482707609712836,1.0246541423212767,0.02361661865000686,0.01180830932500343
7_1,0_1,8,1.1326425072902073,1.1090305190498184,0.023611988240388904,0.011805994120194452
7_1,0_1,9,1.2168675369727617,1.1930740779731719,0.023793458999589845,0.011896729499794922
7_1,0_1,10,1.2595126328368953,1.2357225864760812,0.023790046360814054,0.011895023180407027
7_1,0_1,11,1.302053050291679,1.278269253012524,0.023783797279155028,0.011891898639577514
7_1,0_1,12,1.3445881244598414,1.320815511036523,0.02377261342331849,0.011886306711659245
7_1,0_1,13,1.3871222560159815,1.3633552865248566,0.02376696949112489,0.011883484745562445
7_1,0_1,14,1.4296215579883755,1.4058568189692744,0.023764739019101144,0.011882369509550572
7_1,0_1,15,1.4720252499358988,1.4482651498615882,0.02376010007431062,0.01188005003715531
7_1,0_1,16,1.5143972103077128,1.4906380352126614,0.023759175095051432,0.011879587547525716
7_1,0_1,17,1.5392222533885354,1.5154632902404572,0.023758963148078127,0.011879481574039064
7_1,0_1,18,1.5638342294992458,1.5400758609428216,0.023758368556424214,0.011879184278212107
7_1,0_1,19,1.5884390271957944,1.5646814173766599,0.02375760981913455,0.011878804909567275
7_1,0_1,20,1.613029294229505,1.5892728230955573,0.023756471133947743,0.011878235566973872
7_1,0_1,21,1.6376092105447368,1.6138542479597766,0.023754962584960237,0.011877481292480119
7_1,0_1,22,1.6621841317478456,1.6384292867864472,0.023754844961398458,0.011877422480699229
7_1,0_1,23,1.686753925640039,1.662999335209106,0.023754590430933087,0.011877295215466543
7_1,0_1,24,1.7111847553588961,1.6874302724606096,0.023754482898286522,0.011877241449143261
7_1,0_1,25,1.7356050899210032,1.711850896044031,0.023754193876972085,0.011877096938486043
7_1,0_1,26,1.7513038876050586,1.7275506775831273,0.023753210021931315,0.011876605010965657
7_1,0_1,27,1.7668184738203028,1.7430658948729696,0.02375257894733318,0.01187628947366659
7_1,0_1,28,1.7823042616687992,1.7585517716902361,0.02375248997856305,0.011876244989281526
7_1,0_1,29,1.7977088112538406,1.7740115704108308,0.023697240843009837,0.011848620421504918
