knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.21270888141240088,0.21236437021213944,0.0003445112002614381,0.00017225560013071906
3_1,0_1,2,0.424516325901678,0.4244324788303293,8.384707134867497e-05,4.1923535674337487e-05
3_1,0_1,3,0.6323805838865287,0.6082882113434713,0.024092372543057405,0.012046186271528703
3_1,0_1,4,0.8168519211514724,0.7596040443202846,0.057247876831187816,0.028623938415593908
3_1,0_1,5,0.9023937797838981,0.8455617771609174,0.056832002622980715,0.028416001311490358
3_1,0_1,6,0.9819916945636866,0.9253754901700368,0.05661620439364978,0.02830810219682489
3_1,0_1,7,1.0529753947893352,0.9946727497889869,0.05830264500034832,0.02915132250017416
3_1,0_1,8,1.1116299016162279,1.0535607245925973,0.05806917702363057,0.029034588511815285
3_1,0_1,9,1.1383352225825578,1.0777590896478275,0.0605761329347303,0.03028806646736515
3_1,0_1,10,1.164657362482519,1.1013877880832748,0.06326957439924419,0.031634787199622094
3_1,0_1,11,1.1848080356091508,1.1170732092552909,0.06773482635385997,0.033867413176929984
3_1,0_1,12,1.1971995070628525,1.13139372994978,0.06580577711307245,0.032902888556536225
3_1,0_1,13,1.2080835766545241,1.1433631775226154,0.06472039913190875,0.03236019956595437
3_1,0_1,14,1.212617656780704,1.1490289798935729,0.06358867688713121,0.031794338443565606
3_1,0_1,15,1.2138951171044496,1.153196748421054,0.06069836868339573,0.030349184341697866
3_1,0_1,16,1.2134258093678385,1.1561879199604357,0.05723788940740282,0.02861894470370141
3_1,0_1,17,1.2124502371616583,1.1577800171927657,0.05467021996889265,0.027335109984446326
3_1,0_1,18,1.209246842043852,1.1592703013783205,0.04997654066553148,0.02498827033276574
3_1,0_1,19,1.205825594789205,1.159896735141271,0.04592885964793392,0.02296442982396696
