knot,reference,M,S_M_knot,S_M_reference,DeltaS_M,alpha_inv_pred_blind_M
3_1,0_1,1,0.215548569665634,0.2157329286237384,-0.0001843589581044247,-9.217947905221235e-05
3_1,0_1,2,0.43019712992345993,0.43068924413387655,-0.0004921142104166165,-0.00024605710520830826
3_1,0_1,3,0.6417991445534958,0.6424024398951567,-0.0006032953416608144,-0.0003016476708304072
3_1,0_1,4,0.8445311929747108,0.8363171694038843,0.008214023570826456,0.004107011785413228
3_1,0_1,5,0.925486993718051,0.9172905780408996,0.008196415677151347,0.004098207838575674
3_1,0_1,6,1.006426568463376,0.9982082004739338,0.008218367989442199,0.0041091839947210995
3_1,0_1,7,1.0857238943341467,1.077566407896901,0.008157486437245787,0.004078743218622893
3_1,0_1,8,1.1636406146878795,1.1555455772770615,0.008095037410817962,0.004047518705408981
3_1,0_1,9,1.2379555345779825,1.2298549505749465,0.008100584003035927,0.004050292001517963
3_1,0_1,10,1.277766325803889,1.2696735801767975,0.008092745627091391,0.0040463728135456956
3_1,0_1,11,1.3163158805483235,1.3082287804880606,0.00808710006026292,0.00404355003013146
3_1,0_1,12,1.3536824510910956,1.3456031789672915,0.008079272123804104,0.004039636061902052
3_1,0_1,13,1.3906354937515668,1.3825630118244199,0.008072481927146935,0.0040362409635734675
3_1,0_1,14,1.4251004931952276,1.4170376928535728,0.008062800341654741,0.0040314001708273706
3_1,0_1,15,1.458315882451014,1.450257273258438,0.00805860919257606,0.00402930459628803
3_1,0_1,16,1.4888501422696774,1.4807939924823035,0.0080561497873739,0.00402807489368695
3_1,0_1,17,1.5113727398108392,1.5033177596715757,0.008054980139263535,0.004027490069631767
3_1,0_1,18,1.532035192086803,1.5239810445438595,0.008054147542943424,0.004027073771471712
3_1,0_1,19,1.552243962118995,1.5441906652826651,0.008053296836329826,0.004026648418164913
3_1,0_1,20,1.5720388947772608,1.5639871663119922,0.008051728465268582,0.004025864232634291
3_1,0_1,21,1.5910475099670205,1.582997041127219,0.008050468839801539,0.0040252344199007695
3_1,0_1,22,1.6091611984672063,1.6011115839018435,0.008049614565362795,0.004024807282681397
3_1,0_1,23,1.6246511463308126,1.6177941626795445,0.006856983651268189,0.0034284918256340946
3_1,0_1,24,1.6394819674871135,1.6344762575954683,0.0050057098916451714,0.0025028549458225857
3_1,0_1,25,1.6501973141446034,1.6499662974739768,0.0002310166706265271,0.00011550833531326354
3_1,0_1,26,1.6609085424627381,1.664797289861674,-0.0038887473989359655,-0.0019443736994679828
3_1,0_1,27,1.666267635485532,1.671983795490171,-0.005716160004639148,-0.002858080002319574
3_1,0_1,28,1.6703945671910403,1.6791701487742077,-0.00877558158316738,-0.00438779079158369
3_1,0_1,29,1.674521150152034,1.6836133636153119,-0.00909221346327782,-0.00454610673163891
3_1,0_1,30,1.678072680674732,1.6873447963241874,-0.009272115649455515,-0.004636057824727757
3_1,0_1,31,1.6808144969704166,1.6910760753986442,-0.010261578428227613,-0.005130789214113807
3_1,0_1,32,1.6834901174406736,1.6946981924575333,-0.01120807501685972,-0.00560403750842986
3_1,0_1,33,1.6861635901971068,1.697355549103284,-0.01119195890617708,-0.00559597945308854
3_1,0_1,34,1.688451025321328,1.7000124745025222,-0.011561449181194172,-0.005780724590597086
3_1,0_1,35,1.6907382836118297,1.7022760628186253,-0.011537779206795662,-0.005768889603397831
3_1,0_1,36,1.6913921823521016,1.7045395892419177,-0.013147406889816082,-0.006573703444908041
3_1,0_1,37,1.6919505441449076,1.706759542482051,-0.014808998337143331,-0.0074044991685716655
3_1,0_1,38,1.692507341566616,1.7089768324747594,-0.016469490908143314,-0.008234745454071657
3_1,0_1,39,1.693064084587028,1.7106260324347888,-0.017561947847760884,-0.008780973923880442
3_1,0_1,40,1.6935794189324311,1.7122751551971436,-0.018695736264712437,-0.009347868132356218
3_1,0_1,41,1.694026306057585,1.713804408813157,-0.019778102755571902,-0.009889051377785951
3_1,0_1,42,1.6944731200957646,1.7153336587909296,-0.02086053869516502,-0.01043026934758251
3_1,0_1,43,1.6949138628370102,1.7168106556860179,-0.021896792849007696,-0.010948396424503848
3_1,0_1,44,1.6953545020578473,1.7182876495287442,-0.02293314747089692,-0.01146657373544846
3_1,0_1,45,1.695759136392386,1.719614543492441,-0.02385540710005496,-0.01192770355002748
3_1,0_1,46,1.696145578208953,1.7206948110422218,-0.02454923283326882,-0.01227461641663441
3_1,0_1,47,1.696504331167715,1.7217750613963534,-0.02527073022863835,-0.012635365114319175
3_1,0_1,48,1.6968630031881335,1.7227463458315968,-0.02588334264346326,-0.01294167132173163
3_1,0_1,49,1.697144054804357,1.7237176223898074,-0.026573567585450375,-0.013286783792725188
3_1,0_1,50,1.6974248611963914,1.7244603509222607,-0.027035489725869333,-0.013517744862934666
3_1,0_1,51,1.6976712321211112,1.7252030700363512,-0.027531837915240054,-0.013765918957620027
3_1,0_1,52,1.6979121508270252,1.7258527680748328,-0.02794061724780761,-0.013970308623903804
3_1,0_1,53,1.6981200824468987,1.726502005022663,-0.028381922575764218,-0.014190961287882109
3_1,0_1,54,1.6983276712588,1.7271148650184804,-0.02878719375968042,-0.01439359687984021
3_1,0_1,55,1.6985165837950387,1.7276726902483293,-0.029156106453290587,-0.014578053226645293
3_1,0_1,56,1.6987053217266623,1.7282305154429163,-0.02952519371625395,-0.014762596858126975
3_1,0_1,57,1.6988862433806968,1.7287372488956154,-0.029851005514918594,-0.014925502757459297
3_1,0_1,58,1.6990576376946247,1.729243972956138,-0.030186335261513264,-0.015093167630756632
3_1,0_1,59,1.699228966736867,1.7297422951269024,-0.0305133283900354,-0.0152566641950177
3_1,0_1,60,1.6901905178531174,1.7302083038567877,-0.04001778600367034,-0.02000889300183517
3_1,0_1,61,1.681108539191205,1.7306743121618553,-0.049565772970650235,-0.024782886485325117
3_1,0_1,62,1.6720263891817466,1.7310798715198765,-0.0590534823381299,-0.02952674116906495
3_1,0_1,63,1.6629175647442658,1.7314574759824592,-0.06853991123819347,-0.03426995561909674
3_1,0_1,64,1.6537503819679666,1.7318350744900992,-0.07808469252213257,-0.039042346261066285
3_1,0_1,65,1.6445312733838198,1.7320852356319303,-0.08755396224811052,-0.04377698112405526
3_1,0_1,66,1.6353117407087914,1.7323353967701778,-0.09702365606138641,-0.048511828030693205
3_1,0_1,67,1.6260492329486704,1.7324734938351418,-0.10642426088647139,-0.053212130443235695
3_1,0_1,68,1.6167857470982705,1.7326115664521948,-0.11582581935392433,-0.057912909676962165
3_1,0_1,69,1.607432596224665,1.7326661292710746,-0.1252335330464096,-0.0626167665232048
3_1,0_1,70,1.5980499238462318,1.7327206920710962,-0.13467076822486446,-0.06733538411243223
3_1,0_1,71,1.5886668270436977,1.732742624511499,-0.1440757974678013,-0.07203789873390065
4_1,0_1,1,0.2362790861026697,0.2157329286237384,0.020546157478931293,0.010273078739465646
4_1,0_1,2,0.46629682058450805,0.43068924413387655,0.035607576450631506,0.017803788225315753
4_1,0_1,3,0.6890083691286756,0.6424024398951567,0.04660592923351892,0.02330296461675946
4_1,0_1,4,0.9077421696871371,0.8363171694038843,0.07142500028325272,0.03571250014162636
