file,relative_path,input_format_detected,knot_id,harmonics_N,scale_m_per_unit,length_series_units,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3.000),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),H_used,xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,mass_fluid_over_m_e,mass_fluid_over_m_p,mass_energy_over_m_e,mass_energy_over_m_p,fit_source_txt_found,fit_rms_raw_vs_fs,fit_rel_bbox,type_meta,chiral_meta
knot_0.2.1.fseries,knot_0.2.1\knot_0.2.1.fseries,fseries,0_2_1,100,1.0,109.58795208505698,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,-0.0,,,-0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,4.491130322746001,0.17733004463407326,,
knot_0.2.1_ideal.txt,knot_0.2.1\knot_0.2.1_ideal.txt,ideal,0_2_1,100,1.0,109.58795208505698,109.58795208505698,-1.065160850153693,2,-1.0,writhe_fallback,-0.0,,,-0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,4.491130322746001,0.17733004463407326,,
knot_0.3.1.fseries,knot_0.3.1\knot_0.3.1.fseries,fseries,0_3_1,100,1.0,132.6787851785274,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,-5.0,,,-5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-6.530864792985865e-36,-5.4571388483755635e-06,-7.169381603620953e-06,-3.904567254851002e-09,-5.990678433577193e+24,-3.262625445167235e+21,True,7.270573529888399,0.1688020519451754,,
knot_0.3.1_ideal.txt,knot_0.3.1\knot_0.3.1_ideal.txt,ideal,0_3_1,100,1.0,132.6787851785274,132.6787851785274,-0.006148271119401362,8,-1.0,writhe_fallback,-5.0,,,-5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-6.530864792985865e-36,-5.4571388483755635e-06,-7.169381603620953e-06,-3.904567254851002e-09,-5.990678433577193e+24,-3.262625445167235e+21,True,7.270573529888399,0.1688020519451754,,
knot_10.123.fseries,knot_10.123\knot_10.123.fseries,fseries,10_123,100,1.0,157.69205862984276,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.3971773425691539e-35,1.1674703114958155e-05,1.5337781219371483e-05,8.353216723877544e-09,1.2816128398494988e+25,6.979881675353382e+21,True,0.39860596384001445,0.01753921829589953,,
knot_10.123_ideal.txt,knot_10.123\knot_10.123_ideal.txt,ideal,10_123,100,1.0,157.69205862984276,157.69205862984276,0.04262771284205947,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.3971773425691539e-35,1.1674703114958155e-05,1.5337781219371483e-05,8.353216723877544e-09,1.2816128398494988e+25,6.979881675353382e+21,True,0.39860596384001445,0.01753921829589953,,
knot_10.1.fseries,knot_10.1\knot_10.1.fseries,fseries,10_1,100,1.0,152.33893900074327,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,8.0,,,8.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.1997758489959886e-35,1.0025231883426245e-05,1.3170768608620877e-05,7.17302477029084e-09,1.1005389839683045e+25,5.993722634765786e+21,True,0.4498639779294151,0.016534992280763345,,
knot_10.1_ideal.txt,knot_10.1\knot_10.1_ideal.txt,ideal,10_1,100,1.0,152.33893900074327,152.33893900074327,3.6590192209085743,11,1.0,writhe_fallback,8.0,,,8.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.1997758489959886e-35,1.0025231883426245e-05,1.3170768608620877e-05,7.17302477029084e-09,1.1005389839683045e+25,5.993722634765786e+21,True,0.4498639779294151,0.016534992280763345,,
knot_2.2.1.fseries,knot_2.2.1\knot_2.2.1.fseries,fseries,2_2_1,100,1.0,99.07692820310739,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,2.985007716222332,0.12231859572833334,,
knot_2.2.1_ideal.txt,knot_2.2.1\knot_2.2.1_ideal.txt,ideal,2_2_1,100,1.0,99.07692820310739,99.07692820310739,1.453667217476184,3,1.0,writhe_fallback,0.0,,,0.0,1.0,9.844625550645778e-39,8.226091068037216e-09,0.0,0.0,0.0,0.0,0.0,0.0,True,2.985007716222332,0.12231859572833334,,
